File: DSP-1001660005140-Y-D11, Raw: 6954925, Trimmed: 6901583, Stitched: 6817179, Aligned: 6455013, Deduplicated: 593596
File: DSP-1001660005140-Y-D12, Raw: 903834, Trimmed: 895341, Stitched: 882816, Aligned: 850614, Deduplicated: 47798
File: DSP-1001660005140-Y-E01, Raw: 13505716, Trimmed: 13381019, Stitched: 13218835, Aligned: 12715335, Deduplicated: 544755
File: DSP-1001660005140-Y-E02, Raw: 19895982, Trimmed: 19726806, Stitched: 19452847, Aligned: 18664477, Deduplicated: 863711
File: DSP-1001660005140-Y-E03, Raw: 1930375, Trimmed: 1890910, Stitched: 1832885, Aligned: 1748207, Deduplicated: 559122
File: DSP-1001660005140-Y-E04, Raw: 632486, Trimmed: 627374, Stitched: 619126, Aligned: 593071, Deduplicated: 51220
File: DSP-1001660005140-Y-E05, Raw: 6306719, Trimmed: 6259855, Stitched: 6195467, Aligned: 5944740, Deduplicated: 312239
File: DSP-1001660005140-Y-E06, Raw: 6903509, Trimmed: 6839325, Stitched: 6748934, Aligned: 6478910, Deduplicated: 465721
File: DSP-1001660005140-Y-E07, Raw: 12671182, Trimmed: 12559471, Stitched: 12386009, Aligned: 11629030, Deduplicated: 582009
File: DSP-1001660005140-Y-E08, Raw: 878434, Trimmed: 870505, Stitched: 859446, Aligned: 827439, Deduplicated: 61695
File: DSP-1001660005140-Y-E09, Raw: 10319280, Trimmed: 10233864, Stitched: 10102221, Aligned: 9690072, Deduplicated: 575594
File: DSP-1001660005140-Y-E10, Raw: 11848979, Trimmed: 11764541, Stitched: 11621893, Aligned: 11175484, Deduplicated: 770227
File: DSP-1001660005140-Y-E11, Raw: 17316159, Trimmed: 17171087, Stitched: 16947053, Aligned: 16024648, Deduplicated: 818129
File: DSP-1001660005140-Y-E12, Raw: 396251, Trimmed: 393835, Stitched: 388850, Aligned: 374237, Deduplicated: 57835
File: DSP-1001660005140-Y-F01, Raw: 10451457, Trimmed: 10365123, Stitched: 10220800, Aligned: 9839931, Deduplicated: 620614
File: DSP-1001660005140-Y-F02, Raw: 17832945, Trimmed: 17690964, Stitched: 17480372, Aligned: 16556225, Deduplicated: 900332
File: DSP-1001660005140-Y-F03, Raw: 1102912, Trimmed: 1093710, Stitched: 1076320, Aligned: 1033560, Deduplicated: 56720
File: DSP-1001660005140-Y-F04, Raw: 12966242, Trimmed: 12852193, Stitched: 12704236, Aligned: 12217631, Deduplicated: 630456
File: DSP-1001660005140-Y-F05, Raw: 12258393, Trimmed: 12156338, Stitched: 11998075, Aligned: 11304364, Deduplicated: 628574
File: DSP-1001660005140-Y-F06, Raw: 1175635, Trimmed: 1164562, Stitched: 1147377, Aligned: 1103485, Deduplicated: 53660
File: DSP-1001660005140-Y-F07, Raw: 11444012, Trimmed: 11344488, Stitched: 11203188, Aligned: 10781158, Deduplicated: 626082
File: DSP-1001660005140-Y-F08, Raw: 11054591, Trimmed: 10962561, Stitched: 10823114, Aligned: 10226495, Deduplicated: 723694
File: DSP-1001660005140-Y-F09, Raw: 1231432, Trimmed: 1222555, Stitched: 1207253, Aligned: 1166714, Deduplicated: 60007
File: DSP-1001660005140-Y-F10, Raw: 9079897, Trimmed: 9003802, Stitched: 8902779, Aligned: 8563173, Deduplicated: 443689
File: DSP-1001660005140-Y-F11, Raw: 14428147, Trimmed: 14301311, Stitched: 14115812, Aligned: 13548343, Deduplicated: 850263
File: DSP-1001660005140-Y-F12, Raw: 5125321, Trimmed: 5085601, Stitched: 5023129, Aligned: 4765177, Deduplicated: 679804
File: DSP-1001660005140-Y-G01, Raw: 939884, Trimmed: 931313, Stitched: 919204, Aligned: 887066, Deduplicated: 49133
File: DSP-1001660005140-Y-G02, Raw: 7023169, Trimmed: 6967623, Stitched: 6875300, Aligned: 6627304, Deduplicated: 411375
File: DSP-1001660005140-Y-G03, Raw: 4665512, Trimmed: 4623783, Stitched: 4567415, Aligned: 4366570, Deduplicated: 311039
File: DSP-1001660005140-Y-G04, Raw: 11904791, Trimmed: 11800835, Stitched: 11644010, Aligned: 11017805, Deduplicated: 632761
File: DSP-1001660005140-Y-G05, Raw: 860829, Trimmed: 852361, Stitched: 840713, Aligned: 809890, Deduplicated: 54533
File: DSP-1001660005140-Y-G06, Raw: 10136262, Trimmed: 10064620, Stitched: 9943579, Aligned: 9545845, Deduplicated: 457648
File: DSP-1001660005140-Y-G07, Raw: 8069203, Trimmed: 8006147, Stitched: 7901456, Aligned: 7568190, Deduplicated: 523835
File: DSP-1001660005140-Y-G08, Raw: 7517764, Trimmed: 7452221, Stitched: 7351987, Aligned: 6963886, Deduplicated: 544976
File: DSP-1001660005140-Y-G09, Raw: 674551, Trimmed: 668658, Stitched: 660404, Aligned: 633866, Deduplicated: 43837
File: DSP-1001660005140-Y-G10, Raw: 10698491, Trimmed: 10591673, Stitched: 10421544, Aligned: 9948191, Deduplicated: 619660
File: DSP-1001660005140-Y-G11, Raw: 8432503, Trimmed: 8352310, Stitched: 8248298, Aligned: 7930739, Deduplicated: 472163
File: DSP-1001660005140-Y-G12, Raw: 8313655, Trimmed: 8247386, Stitched: 8143471, Aligned: 7748443, Deduplicated: 760619
File: DSP-1001660005140-Y-H01, Raw: 2803793, Trimmed: 2777783, Stitched: 2745600, Aligned: 2640853, Deduplicated: 68984
File: DSP-1001660005140-Y-H02, Raw: 11586453, Trimmed: 11498402, Stitched: 11352636, Aligned: 10892119, Deduplicated: 716762
File: DSP-1001660005140-Y-H03, Raw: 11034378, Trimmed: 10929094, Stitched: 10770825, Aligned: 10141623, Deduplicated: 732128
File: DSP-1001660005140-Y-H04, Raw: 720173, Trimmed: 716254, Stitched: 708641, Aligned: 679860, Deduplicated: 42450
File: DSP-1001660005140-Y-H05, Raw: 4237095, Trimmed: 4200302, Stitched: 4139728, Aligned: 3974497, Deduplicated: 408900
File: DSP-1001660005140-Y-H06, Raw: 3802913, Trimmed: 3773432, Stitched: 3726689, Aligned: 3546143, Deduplicated: 522640
File: DSP-1001660005140-Y-H07, Raw: 1099797, Trimmed: 1091174, Stitched: 1078509, Aligned: 1032914, Deduplicated: 50835
File: DSP-1001660005140-Y-H08, Raw: 9661799, Trimmed: 9567412, Stitched: 9424773, Aligned: 9057987, Deduplicated: 454218
File: DSP-1001660005140-Y-H09, Raw: 12688020, Trimmed: 12613513, Stitched: 12441606, Aligned: 11733311, Deduplicated: 765656
File: DSP-1001660005140-Y-H10, Raw: 543903, Trimmed: 538811, Stitched: 528569, Aligned: 506055, Deduplicated: 48843
File: DSP-1001660005140-Y-H11, Raw: 13026581, Trimmed: 12899956, Stitched: 12735161, Aligned: 12219670, Deduplicated: 864421
File: DSP-1001660005140-Y-H12, Raw: 7188073, Trimmed: 7127588, Stitched: 7024476, Aligned: 6592139, Deduplicated: 889481
File: DSP-1001660005141-Z-A01, Raw: 388, Trimmed: 384, Stitched: 362, Aligned: 342, Deduplicated: 341
File: DSP-1001660005141-Z-A02, Raw: 1879343, Trimmed: 1863523, Stitched: 1843062, Aligned: 1755016, Deduplicated: 116364
File: DSP-1001660005141-Z-A03, Raw: 31206599, Trimmed: 30903716, Stitched: 30492592, Aligned: 28884979, Deduplicated: 1833585
File: DSP-1001660005141-Z-A04, Raw: 6985880, Trimmed: 6928277, Stitched: 6842920, Aligned: 6546877, Deduplicated: 723967
File: DSP-1001660005141-Z-A05, Raw: 11752913, Trimmed: 11651018, Stitched: 11485635, Aligned: 10649107, Deduplicated: 947925
File: DSP-1001660005141-Z-A06, Raw: 1787488, Trimmed: 1774922, Stitched: 1753599, Aligned: 1676780, Deduplicated: 122497
File: DSP-1001660005141-Z-A07, Raw: 11785803, Trimmed: 11655261, Stitched: 11490416, Aligned: 10952280, Deduplicated: 891438
File: DSP-1001660005141-Z-A08, Raw: 4871106, Trimmed: 4833968, Stitched: 4773161, Aligned: 4477109, Deduplicated: 307313
File: DSP-1001660005141-Z-A09, Raw: 9759877, Trimmed: 9695696, Stitched: 9576262, Aligned: 8819257, Deduplicated: 842217
File: DSP-1001660005141-Z-A10, Raw: 1122190, Trimmed: 1112606, Stitched: 1099686, Aligned: 1045194, Deduplicated: 93621
File: DSP-1001660005141-Z-A11, Raw: 15578241, Trimmed: 15441562, Stitched: 15203452, Aligned: 14576039, Deduplicated: 1171881
File: DSP-1001660005141-Z-A12, Raw: 5669102, Trimmed: 5622549, Stitched: 5557985, Aligned: 5218937, Deduplicated: 504038
File: DSP-1001660005141-Z-B01, Raw: 17635557, Trimmed: 17479019, Stitched: 17241779, Aligned: 15820007, Deduplicated: 1186633
File: DSP-1001660005141-Z-B02, Raw: 1419673, Trimmed: 1407723, Stitched: 1389824, Aligned: 1326947, Deduplicated: 129511
File: DSP-1001660005141-Z-B03, Raw: 26713404, Trimmed: 26472918, Stitched: 26179857, Aligned: 24972759, Deduplicated: 2339489
File: DSP-1001660005141-Z-B04, Raw: 6888682, Trimmed: 6822790, Stitched: 6739241, Aligned: 6456344, Deduplicated: 670449
File: DSP-1001660005141-Z-B05, Raw: 16527470, Trimmed: 16383004, Stitched: 16171095, Aligned: 15118835, Deduplicated: 1064426
File: DSP-1001660005141-Z-B06, Raw: 747960, Trimmed: 742243, Stitched: 733643, Aligned: 699113, Deduplicated: 67520
File: DSP-1001660005141-Z-B07, Raw: 9845227, Trimmed: 9759731, Stitched: 9643685, Aligned: 9101597, Deduplicated: 776090
File: DSP-1001660005141-Z-B08, Raw: 14051511, Trimmed: 13954683, Stitched: 13791786, Aligned: 12745779, Deduplicated: 1028320
File: DSP-1001660005141-Z-B09, Raw: 644409, Trimmed: 640256, Stitched: 631747, Aligned: 593479, Deduplicated: 68978
File: DSP-1001660005141-Z-B10, Raw: 10102348, Trimmed: 10005332, Stitched: 9844795, Aligned: 9247065, Deduplicated: 669771
File: DSP-1001660005141-Z-B11, Raw: 12639296, Trimmed: 12536343, Stitched: 12380880, Aligned: 11167977, Deduplicated: 1143064
File: DSP-1001660005141-Z-B12, Raw: 690919, Trimmed: 684223, Stitched: 674124, Aligned: 646567, Deduplicated: 62929
File: DSP-1001660005141-Z-C01, Raw: 4624115, Trimmed: 4594023, Stitched: 4545016, Aligned: 4343157, Deduplicated: 452960
File: DSP-1001660005141-Z-C02, Raw: 10470655, Trimmed: 10380573, Stitched: 10242130, Aligned: 9578430, Deduplicated: 1041337
File: DSP-1001660005141-Z-C03, Raw: 1728306, Trimmed: 1713769, Stitched: 1692671, Aligned: 1604260, Deduplicated: 160990
File: DSP-1001660005141-Z-C04, Raw: 24773629, Trimmed: 24547720, Stitched: 24209194, Aligned: 22923596, Deduplicated: 2225261
File: DSP-1001660005141-Z-C05, Raw: 4721505, Trimmed: 4690045, Stitched: 4634584, Aligned: 4404364, Deduplicated: 469301
File: DSP-1001660005141-Z-C06, Raw: 10437811, Trimmed: 10361406, Stitched: 10229798, Aligned: 9502883, Deduplicated: 849876
File: DSP-1001660005141-Z-C07, Raw: 1853715, Trimmed: 1834987, Stitched: 1807575, Aligned: 1723666, Deduplicated: 203272
File: DSP-1001660005141-Z-C08, Raw: 15968508, Trimmed: 15816464, Stitched: 15596415, Aligned: 14972585, Deduplicated: 1372404
File: DSP-1001660005141-Z-C09, Raw: 8929433, Trimmed: 8836214, Stitched: 8715927, Aligned: 8265444, Deduplicated: 754882
File: DSP-1001660005141-Z-C10, Raw: 14203320, Trimmed: 14099098, Stitched: 13926561, Aligned: 12915969, Deduplicated: 1335176
