File: DSP-1001660005247-Z-A01, Raw: 178, Trimmed: 176, Stitched: 155, Aligned: 144, Deduplicated: 144
File: DSP-1001660005247-Z-A02, Raw: 1367983, Trimmed: 1356812, Stitched: 1342966, Aligned: 1276770, Deduplicated: 95810
File: DSP-1001660005247-Z-A03, Raw: 24170223, Trimmed: 23941784, Stitched: 23648169, Aligned: 22456667, Deduplicated: 1605649
File: DSP-1001660005247-Z-A04, Raw: 6171230, Trimmed: 6124187, Stitched: 6055284, Aligned: 5775591, Deduplicated: 695589
File: DSP-1001660005247-Z-A05, Raw: 8600220, Trimmed: 8526026, Stitched: 8412733, Aligned: 7959031, Deduplicated: 667129
File: DSP-1001660005247-Z-A06, Raw: 2289632, Trimmed: 2273908, Stitched: 2248746, Aligned: 2138841, Deduplicated: 175676
File: DSP-1001660005247-Z-A07, Raw: 9160186, Trimmed: 9061381, Stitched: 8942601, Aligned: 8486244, Deduplicated: 761256
File: DSP-1001660005247-Z-A08, Raw: 23647674, Trimmed: 23463702, Stitched: 23181708, Aligned: 22133242, Deduplicated: 1335935
File: DSP-1001660005247-Z-A09, Raw: 13522009, Trimmed: 13432913, Stitched: 13279398, Aligned: 12509763, Deduplicated: 983609
File: DSP-1001660005247-Z-A10, Raw: 1860635, Trimmed: 1844981, Stitched: 1825228, Aligned: 1733830, Deduplicated: 168612
File: DSP-1001660005247-Z-A11, Raw: 38368917, Trimmed: 38031874, Stitched: 37460033, Aligned: 35422295, Deduplicated: 3709947
File: DSP-1001660005247-Z-A12, Raw: 9559683, Trimmed: 9482581, Stitched: 9379473, Aligned: 8961041, Deduplicated: 907590
File: DSP-1001660005247-Z-B01, Raw: 9531209, Trimmed: 9452560, Stitched: 9339327, Aligned: 8738551, Deduplicated: 762894
File: DSP-1001660005247-Z-B02, Raw: 1068287, Trimmed: 1059944, Stitched: 1047370, Aligned: 999550, Deduplicated: 115468
File: DSP-1001660005247-Z-B03, Raw: 7220795, Trimmed: 7160490, Stitched: 7089458, Aligned: 6679485, Deduplicated: 714203
File: DSP-1001660005247-Z-B04, Raw: 6985558, Trimmed: 6919659, Stitched: 6836388, Aligned: 6529108, Deduplicated: 766442
File: DSP-1001660005247-Z-B05, Raw: 11461507, Trimmed: 11368293, Stitched: 11233574, Aligned: 10559839, Deduplicated: 827312
File: DSP-1001660005247-Z-B06, Raw: 2155941, Trimmed: 2140407, Stitched: 2116866, Aligned: 2024055, Deduplicated: 220932
File: DSP-1001660005247-Z-B07, Raw: 7908282, Trimmed: 7840230, Stitched: 7752184, Aligned: 7410280, Deduplicated: 716611
File: DSP-1001660005247-Z-B08, Raw: 14688014, Trimmed: 14586014, Stitched: 14418693, Aligned: 13642259, Deduplicated: 1388462
File: DSP-1001660005247-Z-B09, Raw: 631711, Trimmed: 627960, Stitched: 620182, Aligned: 592075, Deduplicated: 75560
File: DSP-1001660005247-Z-B10, Raw: 14263049, Trimmed: 14131303, Stitched: 13933479, Aligned: 13340843, Deduplicated: 1168158
File: DSP-1001660005247-Z-B11, Raw: 10467002, Trimmed: 10383328, Stitched: 10263356, Aligned: 9666920, Deduplicated: 1064750
File: DSP-1001660005247-Z-B12, Raw: 927291, Trimmed: 918448, Stitched: 905411, Aligned: 857800, Deduplicated: 101615
File: DSP-1001660005247-Z-C01, Raw: 10344319, Trimmed: 10276785, Stitched: 10170068, Aligned: 9735552, Deduplicated: 1171488
File: DSP-1001660005247-Z-C02, Raw: 9114776, Trimmed: 9039526, Stitched: 8927467, Aligned: 8313132, Deduplicated: 1009360
File: DSP-1001660005247-Z-C03, Raw: 900605, Trimmed: 893699, Stitched: 883968, Aligned: 841373, Deduplicated: 90420
File: DSP-1001660005247-Z-C04, Raw: 10920450, Trimmed: 10828367, Stitched: 10690858, Aligned: 10142248, Deduplicated: 1066360
File: DSP-1001660005247-Z-C05, Raw: 9024739, Trimmed: 8961512, Stitched: 8862040, Aligned: 8455169, Deduplicated: 818314
File: DSP-1001660005247-Z-C06, Raw: 7945894, Trimmed: 7890196, Stitched: 7795056, Aligned: 7332103, Deduplicated: 701223
File: DSP-1001660005247-Z-C07, Raw: 14083344, Trimmed: 13935373, Stitched: 13739292, Aligned: 12822255, Deduplicated: 1578422
File: DSP-1001660005247-Z-C08, Raw: 13493060, Trimmed: 13360490, Stitched: 13188817, Aligned: 12479169, Deduplicated: 1325839
File: DSP-1001660005247-Z-C09, Raw: 6533996, Trimmed: 6466745, Stitched: 6379931, Aligned: 6094038, Deduplicated: 703693
File: DSP-1001660005247-Z-C10, Raw: 6986290, Trimmed: 6937444, Stitched: 6858509, Aligned: 6503037, Deduplicated: 889100
File: DSP-1001660005247-Z-C11, Raw: 1692235, Trimmed: 1681699, Stitched: 1664279, Aligned: 1595125, Deduplicated: 218257
File: DSP-1001660005247-Z-C12, Raw: 7731032, Trimmed: 7671917, Stitched: 7574124, Aligned: 7242368, Deduplicated: 863971
File: DSP-1001660005247-Z-D01, Raw: 7174672, Trimmed: 7132127, Stitched: 7052838, Aligned: 6741974, Deduplicated: 1108083
File: DSP-1001660005247-Z-D02, Raw: 9587744, Trimmed: 9489448, Stitched: 9367549, Aligned: 8889179, Deduplicated: 961471
File: DSP-1001660005247-Z-D03, Raw: 1768278, Trimmed: 1751386, Stitched: 1728490, Aligned: 1650418, Deduplicated: 184541
File: DSP-1001660005247-Z-D04, Raw: 4121598, Trimmed: 4095451, Stitched: 4054117, Aligned: 3878041, Deduplicated: 780486
File: DSP-1001660005247-Z-D05, Raw: 8310708, Trimmed: 8234234, Stitched: 8129839, Aligned: 7624187, Deduplicated: 817685
File: DSP-1001660005247-Z-D06, Raw: 1696789, Trimmed: 1685629, Stitched: 1668375, Aligned: 1599649, Deduplicated: 150860
File: DSP-1001660005247-Z-D07, Raw: 9243719, Trimmed: 9151598, Stitched: 9003170, Aligned: 8618447, Deduplicated: 1127289
File: DSP-1001660005247-Z-D08, Raw: 7353804, Trimmed: 7288485, Stitched: 7206773, Aligned: 6812034, Deduplicated: 640943
File: DSP-1001660005247-Z-D09, Raw: 1616615, Trimmed: 1604808, Stitched: 1583560, Aligned: 1518121, Deduplicated: 147799
File: DSP-1001660005247-Z-D10, Raw: 9437006, Trimmed: 9366422, Stitched: 9261188, Aligned: 8850592, Deduplicated: 1169689
File: DSP-1001660005247-Z-D11, Raw: 9042136, Trimmed: 8969235, Stitched: 8842505, Aligned: 8361114, Deduplicated: 927369
