File: DSP-1001660005142-Z-A01, Raw: 22363669, Trimmed: 22188032, Stitched: 21925648, Aligned: 20724328, Deduplicated: 697714
File: DSP-1001660005142-Z-A02, Raw: 5327559, Trimmed: 5288995, Stitched: 5238550, Aligned: 5017206, Deduplicated: 160181
File: DSP-1001660005142-Z-A03, Raw: 36759426, Trimmed: 36461585, Stitched: 36050557, Aligned: 34779680, Deduplicated: 996665
File: DSP-1001660005142-Z-A04, Raw: 16587709, Trimmed: 16481022, Stitched: 16321956, Aligned: 15629384, Deduplicated: 577464
File: DSP-1001660005142-Z-A05, Raw: 23032222, Trimmed: 22868889, Stitched: 22592228, Aligned: 21313511, Deduplicated: 648884
File: DSP-1001660005142-Z-A06, Raw: 3730862, Trimmed: 3708948, Stitched: 3671081, Aligned: 3528943, Deduplicated: 114495
File: DSP-1001660005142-Z-A07, Raw: 19900041, Trimmed: 19707671, Stitched: 19464401, Aligned: 18796541, Deduplicated: 681667
File: DSP-1001660005142-Z-A08, Raw: 15747199, Trimmed: 15649646, Stitched: 15483203, Aligned: 14859985, Deduplicated: 434510
File: DSP-1001660005142-Z-A09, Raw: 17297795, Trimmed: 17207574, Stitched: 17030323, Aligned: 16155719, Deduplicated: 648820
File: DSP-1001660005142-Z-A10, Raw: 3023340, Trimmed: 3002048, Stitched: 2972487, Aligned: 2845930, Deduplicated: 96905
File: DSP-1001660005142-Z-A11, Raw: 23205376, Trimmed: 23041157, Stitched: 22749817, Aligned: 21842461, Deduplicated: 693990
File: DSP-1001660005142-Z-A12, Raw: 15406749, Trimmed: 15300058, Stitched: 15151357, Aligned: 14534136, Deduplicated: 479183
File: DSP-1001660005142-Z-B01, Raw: 22215188, Trimmed: 22064069, Stitched: 21823608, Aligned: 20534139, Deduplicated: 702501
File: DSP-1001660005142-Z-B02, Raw: 1572421, Trimmed: 1560367, Stitched: 1542119, Aligned: 1481267, Deduplicated: 69888
File: DSP-1001660005142-Z-B03, Raw: 10130659, Trimmed: 10064389, Stitched: 9978247, Aligned: 9559312, Deduplicated: 408926
File: DSP-1001660005142-Z-B04, Raw: 13370626, Trimmed: 13266904, Stitched: 13124104, Aligned: 12383841, Deduplicated: 615142
